,PC_1,PC_2
2907,-36.47278590792037,46.97219996635481
1133,241.79903234813645,-60.6381249491962
1129,77.34354056210213,52.86479601630566
55,39.621534113670776,-23.531126675877612
3582,-121.21205316761933,13.70493369589423
6005,-122.40737301544834,14.081009919864753
328,-183.77033126088193,10.11055442612902
189,142.14425325961153,-140.44304368761686
3922,14.147550281367373,77.49964524580207
10123,30.18812385805846,-15.816097592112694
8911,-325.4946703550109,-60.98625929571608
5146,259.92341333423195,-226.53020861341724
7053,82.84557470746891,37.10991101357733
574,-60.144683630314944,40.20799641355096
1036,-78.91946475347135,-281.7376481047257
637,-78.30844647106977,5.243758376952014
1467,-27.38973923393612,-63.30264576875756
168,25.83189399694541,31.7739774794643
62,-18.30564826215733,-96.54384228327208
7547,-26.760186393426476,42.79837961029736
8731,3.6870717923845326,1.0881474804161222
3417,-104.24306142398336,175.5402381611267
411,-34.012578700638336,-105.55545862411853
4941,-10.210064594953892,-30.033561131716823
5049,-19.719257703016833,-136.19535909651609
6733,71.10634741323173,144.91855749139765
3954,-98.45577910135896,107.05189936547555
7475,-7.9259624063654375,-67.32538987674357
1077,40.32141263551365,36.58427872458487
3921,-237.04390283673402,71.5578433234586
6690,11.870365552487561,-2.0127469418266717
441,-86.84990606656456,9.346738865114142
7761,-204.85302250433395,-74.99055220527731
3004,239.83407652115355,-138.27464507277082
6206,245.66505169263965,118.96961540024553
2212,85.69301086785234,127.62222040250853
3904,-54.57513104333638,9.79848069941296
3883,-165.25808404144772,-46.32274963931426
5073,34.51924983525619,-44.9095597074556
8449,-32.97112753846488,72.06637809843974
5342,-144.4323709872523,119.7567965948552
473,20.73638758467985,128.60400032912125
854,-234.57996798939257,71.85642051878865
1970,152.81129633585127,14.486213939299889
8046,-83.89337450456428,-128.66995066222188
4646,59.11456615726534,-90.3002704292504
3381,-55.31439290361395,120.63644135072612
7163,12.466148203757527,33.86553316343907
394,30.046649572596394,-332.6085938820906
380,-73.04709361008382,-130.78105487712375
9126,246.74114698001677,55.4533721754416
4833,65.20435156627467,-396.3916733873032
3942,194.5074768404389,-100.72992718052151
7080,128.4581987079772,30.580006806612808
7413,10.006717433141315,28.673808917800685
9969,157.0042187893673,52.867131465114355
3375,-169.64102830787644,-86.23004624134076
4605,-99.42044643315394,33.03806723012827
4897,-238.91295666333966,-77.49507324298187
1426,-28.431341028272442,-21.49993886723413
6099,-7.224165716922233,61.75108250058954
1085,-35.55994177326609,34.139670558374945
58,123.35591542124732,103.40123496428009
5820,-41.58050415270476,17.721103141315503
776,-34.89958855996605,14.625714627813451
3499,-1.1025354230742366,-154.5292157417459
437,-99.37823790365351,-22.84708918918511
10080,67.56048327564687,-31.2985478105254
6985,-202.75101248945077,-38.84680890363062
7014,336.7164111581971,233.32754017757725
811,94.22679644802015,-16.464860622295404
5408,-98.18211504517194,116.23780463310031
4438,-414.56137273069544,29.63186037344578
990,116.72009105302241,78.46284752521534
5540,42.47865778004393,-15.848432183864924
6367,49.62114249130731,0.13432726830038177
8206,53.701690658392906,20.366243227964674
4143,-191.90343641812996,-92.72247256719359
6971,-42.470012090357386,37.4791512220784
5701,-149.3138370001634,-62.143218877309536
9565,102.94494163526542,-232.49111151772198
9372,6.618567368792071,51.52154707551436
2456,-21.048406414406518,-83.41636940028461
6858,-207.95253101155862,166.97079911632113
9172,-54.65841658612797,186.39445720782874
1494,-24.973217605831078,149.4484012936876
2297,49.65233520187474,-39.15463945716167
311,49.72088997356684,-288.600363551536
5257,131.42234691334033,151.51105627172308
5723,-14.39042561763122,-27.83583360675144
887,-119.65292098863594,231.66481188129094
3930,43.60213671384072,206.29960611105193
4983,86.53777213751349,105.8759067904909
924,34.227116596332024,-43.0689566228481
9519,93.30141267229453,-19.993287557207506
704,-6.18540660017589,93.1798535442088
5745,-5.880190742619217,-51.066739724172066
607,2.4287173145510135,-86.78339645452536
5048,-294.7143287533292,-2.827698237952685
7950,-157.54235891369234,162.1609209454399
4549,-273.7547918905016,28.728384362481552
1040,46.65936219871145,15.634839536394612
7923,-64.50148708518762,-114.46870472226121
5582,21.59799791336902,26.106058847012154
8818,141.5840835304944,351.59810628550156
6573,-77.69925171979828,-117.61273683742955
4173,-29.761013876247155,-9.015242382621148
4200,86.44874693180253,122.41984794656862
7153,-94.98974040113103,77.01709091959236
9262,-201.58808542251697,59.61442522982496
9527,-73.13105742580703,64.9563335183686
554,-85.11415006743286,-24.233932146538937
903,210.33584054904014,-40.78564462386519
9072,71.16350483116123,103.35655230544077
204,48.02545467554493,86.64376615697104
8522,143.46903924748605,124.40408886981578
241,110.67858618562038,150.99076961986316
4399,-103.12956655236731,-12.857377128201522
9616,126.4461950438016,22.802742738096345
8416,-2.57387002311229,63.36900699474477
806,108.81417130583749,32.88301803018561
4057,141.87161743759066,28.58987328946436
7198,-64.23702550177319,96.61469474183738
4499,-154.74019966322285,115.1286717794138
7072,-95.78226234088507,-11.046982910528396
3104,3.412248792720135,-20.279497931903855
912,114.06989404849304,-135.7711205668925
3478,111.14153951838806,2.948116602909728
2616,-416.9233145153657,-236.3387843658096
6020,-6.919126565278018,-19.891073345525434
5432,-26.84311205616219,-6.2626039688633295
3992,-88.40240275315836,-58.44553588102512
2660,-141.83896380541077,7.742389019723074
1466,-15.636387938584878,-230.81523489174515
2886,197.46331949200544,-231.37587091906255
4185,-50.48161895948482,72.26281116545624
4679,-7.827520399260196,-38.950992116717714
7785,38.61843861238296,-127.30738342192717
721,-8.592706903015706,6.8425819747441965
7082,253.9048403432732,87.27376887268241
8905,226.14430023737427,-50.17017229645012
60,-44.313061402089424,27.274793764309933
276,21.526141404590224,-144.5848969881556
3280,-32.817323833248835,-187.57198471516045
5973,-63.801568733615596,-7.44802806226885
6115,-258.9802446741551,-5.780907908096237
345,42.78305086883508,30.105451539628014
5249,-20.464200758997016,71.64492124134911
1875,-201.21860631229663,258.6397084160054
305,-31.084054011066044,6.735991022928192
758,181.8401598560033,-31.313979831012173
5105,-79.46837329988628,59.55768448953188
9726,-138.99302379712051,-30.229361634616723
9812,16.814621421911628,-5.887592052572108
650,361.53902594630426,-150.1335386725254
7089,-79.89829758539737,-262.71710445268485
5332,30.292531095234892,204.66020225598936
