sample_id,population,super_population
ind_2163,"Luhya in Webuye, Kenya",AFR
ind_2251,African Ancestry in Southwest US,AFR
ind_1175,Mende in Sierra Leone,AFR
ind_1988,"Luhya in Webuye, Kenya",AFR
ind_2033,"Yoruba in Ibadan, Nigeria",AFR
ind_742,African Caribbean in Barbados,AFR
ind_2046,"Yoruba in Ibadan, Nigeria",AFR
ind_2256,African Ancestry in Southwest US,AFR
ind_812,African Caribbean in Barbados,AFR
ind_1,British in England and Scotland,EUR
ind_1884,"Yoruba in Ibadan, Nigeria",AFR
ind_1585,Sri Lankan Tamil in the UK,SAS
ind_2137,"Luhya in Webuye, Kenya",AFR
ind_2032,"Yoruba in Ibadan, Nigeria",AFR
ind_2031,"Yoruba in Ibadan, Nigeria",AFR
ind_1129,Esan in Nigeria,AFR
ind_1020,"Gambian in Western Division, The Gambia - Mandinka",AFR
ind_712,African Caribbean in Barbados,AFR
ind_792,African Caribbean in Barbados,AFR
ind_987,"Gambian in Western Division, The Gambia - Mandinka",AFR
ind_982,African Caribbean in Barbados,AFR
ind_1297,Mende in Sierra Leone,AFR
ind_1321,Esan in Nigeria,AFR
ind_1329,"Gambian in Western Division, The Gambia - Mandinka",AFR
ind_1384,Sri Lankan Tamil in the UK,SAS
ind_2099,"Luhya in Webuye, Kenya",AFR
ind_1793,"Han Chinese in Beijing, China",EAS
ind_652,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_1090,"Gambian in Western Division, The Gambia - Mandinka",AFR
ind_2100,"Luhya in Webuye, Kenya",AFR
ind_1903,"Yoruba in Ibadan, Nigeria",AFR
ind_743,African Caribbean in Barbados,AFR
ind_1928,"Japanese in Tokyo, Japan",EAS
ind_1200,Esan in Nigeria,AFR
ind_724,"Peruvian in Lima, Peru",AMR
ind_2257,African Ancestry in Southwest US,AFR
ind_628,"Chinese Dai in Xishuangbanna, China",EAS
ind_945,"Gambian in Western Division, The Gambia - Mandinka",AFR
ind_430,Puerto Rican in Puerto Rico,AMR
ind_1132,Esan in Nigeria,AFR
ind_1288,Mende in Sierra Leone,AFR
ind_2336,Toscani in Italy,EUR
ind_1939,"Japanese in Tokyo, Japan",EAS
ind_1019,"Gambian in Western Division, The Gambia - Mandinka",AFR
ind_2101,"Luhya in Webuye, Kenya",AFR
ind_1217,Esan in Nigeria,AFR
ind_1449,Indian Telugu in the UK,SAS
ind_1336,Mende in Sierra Leone,AFR
ind_2244,African Ancestry in Southwest US,AFR
ind_1304,Mende in Sierra Leone,AFR
ind_2035,"Yoruba in Ibadan, Nigeria",AFR
ind_1984,"Luhya in Webuye, Kenya",AFR
ind_1191,Esan in Nigeria,AFR
ind_1199,Esan in Nigeria,AFR
ind_1587,Sri Lankan Tamil in the UK,SAS
ind_2278,African Ancestry in Southwest US,AFR
ind_2077,"Yoruba in Ibadan, Nigeria",AFR
ind_1186,Mende in Sierra Leone,AFR
ind_2389,Toscani in Italy,EUR
ind_2263,African Ancestry in Southwest US,AFR
ind_937,African Caribbean in Barbados,AFR
ind_1937,"Japanese in Tokyo, Japan",EAS
ind_1014,"Gambian in Western Division, The Gambia - Mandinka",AFR
ind_1261,Esan in Nigeria,AFR
ind_2266,African Ancestry in Southwest US,AFR
ind_1234,Mende in Sierra Leone,AFR
ind_2142,"Luhya in Webuye, Kenya",AFR
ind_1323,Esan in Nigeria,AFR
ind_1184,Mende in Sierra Leone,AFR
ind_290,Han Chinese South,EAS
ind_1626,Bengali in Bangladesh,SAS
ind_406,"Colombian in Medellin, Colombia",AMR
ind_1167,Mende in Sierra Leone,AFR
ind_2040,"Yoruba in Ibadan, Nigeria",AFR
ind_1032,"Gambian in Western Division, The Gambia - Mandinka",AFR
ind_928,"Chinese Dai in Xishuangbanna, China",EAS
ind_1887,"Yoruba in Ibadan, Nigeria",AFR
ind_176,Finnish in Finland,EUR
ind_436,"Colombian in Medellin, Colombia",AMR
ind_1769,"Yoruba in Ibadan, Nigeria",AFR
ind_990,African Caribbean in Barbados,AFR
ind_1639,Indian Telugu in the UK,SAS
ind_674,African Caribbean in Barbados,AFR
ind_1216,Esan in Nigeria,AFR
ind_2242,African Ancestry in Southwest US,AFR
ind_1142,"Gambian in Western Division, The Gambia - Mandinka",AFR
ind_504,Iberian populations in Spain,EUR
ind_2045,"Yoruba in Ibadan, Nigeria",AFR
ind_813,African Caribbean in Barbados,AFR
ind_938,African Caribbean in Barbados,AFR
ind_2023,"Japanese in Tokyo, Japan",EAS
ind_1756,"Yoruba in Ibadan, Nigeria",AFR
ind_1819,"Han Chinese in Beijing, China",EAS
ind_889,African Caribbean in Barbados,AFR
ind_1485,Sri Lankan Tamil in the UK,SAS
ind_2053,"Yoruba in Ibadan, Nigeria",AFR
ind_1410,Indian Telugu in the UK,SAS
ind_1007,"Gambian in Western Division, The Gambia - Mandinka",AFR
ind_1070,"Gambian in Western Division, The Gambia - Mandinka",AFR
ind_1251,Esan in Nigeria,AFR
ind_1583,Sri Lankan Tamil in the UK,SAS
ind_1068,"Gambian in Western Division, The Gambia - Mandinka",AFR
ind_1209,Esan in Nigeria,AFR
ind_892,African Caribbean in Barbados,AFR
ind_447,"Colombian in Medellin, Colombia",AMR
ind_854,African Caribbean in Barbados,AFR
ind_1079,"Punjabi in Lahore, Pakistan",SAS
ind_2268,African Ancestry in Southwest US,AFR
ind_1238,"Punjabi in Lahore, Pakistan",SAS
ind_1189,Mende in Sierra Leone,AFR
ind_78,British in England and Scotland,EUR
ind_2346,Toscani in Italy,EUR
ind_73,British in England and Scotland,EUR
ind_1948,"Japanese in Tokyo, Japan",EAS
ind_1131,Esan in Nigeria,AFR
ind_973,African Caribbean in Barbados,AFR
ind_1441,Indian Telugu in the UK,SAS
ind_2141,"Luhya in Webuye, Kenya",AFR
ind_2280,African Ancestry in Southwest US,AFR
ind_2288,African Ancestry in Southwest US,AFR
ind_1086,"Gambian in Western Division, The Gambia - Mandinka",AFR
ind_1273,Esan in Nigeria,AFR
ind_2450,"Gujarati Indians in Houston, TX",SAS
ind_1121,"Gambian in Western Division, The Gambia - Mandinka",AFR
ind_1031,"Gambian in Western Division, The Gambia - Mandinka",AFR
ind_2028,"Yoruba in Ibadan, Nigeria",AFR
ind_2130,"Luhya in Webuye, Kenya",AFR
