sample_id,population,super_population
ind_1645,Indian Telugu in the UK,SAS
ind_1609,Indian Telugu in the UK,SAS
ind_1402,"Punjabi in Lahore, Pakistan",SAS
ind_2431,"Gujarati Indians in Houston, TX",SAS
ind_341,Puerto Rican in Puerto Rico,AMR
ind_337,Puerto Rican in Puerto Rico,AMR
ind_865,"Peruvian in Lima, Peru",AMR
ind_1484,Sri Lankan Tamil in the UK,SAS
ind_492,"Colombian in Medellin, Colombia",AMR
ind_303,Puerto Rican in Puerto Rico,AMR
ind_1043,"Punjabi in Lahore, Pakistan",SAS
ind_1557,Indian Telugu in the UK,SAS
ind_326,Puerto Rican in Puerto Rico,AMR
ind_393,Puerto Rican in Puerto Rico,AMR
ind_349,Puerto Rican in Puerto Rico,AMR
ind_790,"Peruvian in Lima, Peru",AMR
ind_2310,Toscani in Italy,EUR
ind_1373,"Punjabi in Lahore, Pakistan",SAS
ind_2147,"Luhya in Webuye, Kenya",AFR
ind_486,"Colombian in Medellin, Colombia",AMR
ind_1483,Sri Lankan Tamil in the UK,SAS
ind_2237,"Mexican Ancestry in Los Angeles, California",AMR
ind_2302,Toscani in Italy,EUR
ind_535,"Punjabi in Lahore, Pakistan",SAS
ind_2227,"Mexican Ancestry in Los Angeles, California",AMR
ind_1521,Bengali in Bangladesh,SAS
ind_1383,Sri Lankan Tamil in the UK,SAS
ind_1272,Esan in Nigeria,AFR
ind_736,"Peruvian in Lima, Peru",AMR
ind_2228,"Mexican Ancestry in Los Angeles, California",AMR
ind_1502,Indian Telugu in the UK,SAS
ind_1320,"Punjabi in Lahore, Pakistan",SAS
ind_1400,"Punjabi in Lahore, Pakistan",SAS
ind_821,"Chinese Dai in Xishuangbanna, China",EAS
ind_1144,Bengali in Bangladesh,SAS
ind_521,Iberian populations in Spain,EUR
ind_2365,Toscani in Italy,EUR
ind_1030,"Punjabi in Lahore, Pakistan",SAS
ind_485,"Colombian in Medellin, Colombia",AMR
ind_459,"Colombian in Medellin, Colombia",AMR
ind_1245,"Gambian in Western Division, The Gambia - Mandinka",AFR
ind_2417,"Gujarati Indians in Houston, TX",SAS
ind_787,"Peruvian in Lima, Peru",AMR
ind_1023,"Punjabi in Lahore, Pakistan",SAS
ind_925,"Chinese Dai in Xishuangbanna, China",EAS
ind_227,Puerto Rican in Puerto Rico,AMR
ind_1377,"Punjabi in Lahore, Pakistan",SAS
ind_1995,"Japanese in Tokyo, Japan",EAS
ind_2239,"Mexican Ancestry in Los Angeles, California",AMR
ind_1572,Indian Telugu in the UK,SAS
ind_1153,"Punjabi in Lahore, Pakistan",SAS
ind_2432,"Gujarati Indians in Houston, TX",SAS
ind_876,"Peruvian in Lima, Peru",AMR
ind_1497,Indian Telugu in the UK,SAS
ind_791,"Peruvian in Lima, Peru",AMR
ind_1533,Bengali in Bangladesh,SAS
ind_390,Puerto Rican in Puerto Rico,AMR
ind_2172,"Mexican Ancestry in Los Angeles, California",AMR
ind_1660,Utah residents (CEPH) with Northern and Western European ancestry,EUR
ind_1651,Sri Lankan Tamil in the UK,SAS
ind_1636,Bengali in Bangladesh,SAS
ind_2217,"Mexican Ancestry in Los Angeles, California",AMR
ind_744,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_2013,"Japanese in Tokyo, Japan",EAS
ind_1416,Sri Lankan Tamil in the UK,SAS
ind_2443,"Gujarati Indians in Houston, TX",SAS
ind_373,"Colombian in Medellin, Colombia",AMR
ind_2173,"Mexican Ancestry in Los Angeles, California",AMR
ind_1387,Sri Lankan Tamil in the UK,SAS
ind_1576,Indian Telugu in the UK,SAS
ind_395,Puerto Rican in Puerto Rico,AMR
ind_2456,"Gujarati Indians in Houston, TX",SAS
ind_516,Iberian populations in Spain,EUR
ind_365,"Colombian in Medellin, Colombia",AMR
ind_1625,Bengali in Bangladesh,SAS
ind_1353,Bengali in Bangladesh,SAS
ind_351,Puerto Rican in Puerto Rico,AMR
ind_465,Puerto Rican in Puerto Rico,AMR
ind_285,Han Chinese South,EAS
ind_718,"Peruvian in Lima, Peru",AMR
ind_1381,Sri Lankan Tamil in the UK,SAS
ind_2490,"Gujarati Indians in Houston, TX",SAS
ind_85,British in England and Scotland,EUR
ind_1040,"Punjabi in Lahore, Pakistan",SAS
ind_1675,Utah residents (CEPH) with Northern and Western European ancestry,EUR
ind_788,African Caribbean in Barbados,AFR
ind_419,"Colombian in Medellin, Colombia",AMR
ind_858,"Peruvian in Lima, Peru",AMR
ind_401,Puerto Rican in Puerto Rico,AMR
ind_339,Puerto Rican in Puerto Rico,AMR
ind_1152,"Punjabi in Lahore, Pakistan",SAS
ind_2462,"Gujarati Indians in Houston, TX",SAS
ind_1157,"Gambian in Western Division, The Gambia - Mandinka",AFR
ind_475,"Colombian in Medellin, Colombia",AMR
ind_689,"Peruvian in Lima, Peru",AMR
ind_325,Puerto Rican in Puerto Rico,AMR
ind_1389,Sri Lankan Tamil in the UK,SAS
ind_1614,Bengali in Bangladesh,SAS
ind_2188,"Mexican Ancestry in Los Angeles, California",AMR
ind_2468,"Gujarati Indians in Houston, TX",SAS
ind_711,"Peruvian in Lima, Peru",AMR
ind_2201,"Mexican Ancestry in Los Angeles, California",AMR
ind_268,Puerto Rican in Puerto Rico,AMR
ind_1758,"Yoruba in Ibadan, Nigeria",AFR
ind_669,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_454,"Colombian in Medellin, Colombia",AMR
ind_1600,Indian Telugu in the UK,SAS
ind_330,Puerto Rican in Puerto Rico,AMR
ind_1629,Bengali in Bangladesh,SAS
ind_375,"Colombian in Medellin, Colombia",AMR
ind_948,"Gambian in Western Division, The Gambia - Mandinka",AFR
ind_472,"Colombian in Medellin, Colombia",AMR
ind_695,"Peruvian in Lima, Peru",AMR
ind_1790,"Han Chinese in Beijing, China",EAS
ind_1460,Bengali in Bangladesh,SAS
ind_643,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_1064,"Punjabi in Lahore, Pakistan",SAS
ind_1589,Indian Telugu in the UK,SAS
ind_1818,"Han Chinese in Beijing, China",EAS
ind_422,Puerto Rican in Puerto Rico,AMR
ind_958,"Punjabi in Lahore, Pakistan",SAS
ind_2095,"Luhya in Webuye, Kenya",AFR
ind_435,"Colombian in Medellin, Colombia",AMR
ind_2225,"Mexican Ancestry in Los Angeles, California",AMR
ind_265,Puerto Rican in Puerto Rico,AMR
ind_919,"Chinese Dai in Xishuangbanna, China",EAS
ind_1409,Indian Telugu in the UK,SAS
ind_353,Puerto Rican in Puerto Rico,AMR
ind_445,"Colombian in Medellin, Colombia",AMR
ind_2480,"Gujarati Indians in Houston, TX",SAS
ind_1475,Bengali in Bangladesh,SAS
ind_1075,"Punjabi in Lahore, Pakistan",SAS
ind_322,Puerto Rican in Puerto Rico,AMR
ind_904,"Chinese Dai in Xishuangbanna, China",EAS
ind_1151,"Punjabi in Lahore, Pakistan",SAS
ind_2484,"Gujarati Indians in Houston, TX",SAS
