sample_id,population,super_population
ind_2001,"Japanese in Tokyo, Japan",EAS
ind_34,British in England and Scotland,EUR
ind_1688,Utah residents (CEPH) with Northern and Western European ancestry,EUR
ind_347,Puerto Rican in Puerto Rico,AMR
ind_1039,"Punjabi in Lahore, Pakistan",SAS
ind_1367,Sri Lankan Tamil in the UK,SAS
ind_2286,African Ancestry in Southwest US,AFR
ind_816,"Peruvian in Lima, Peru",AMR
ind_2184,"Mexican Ancestry in Los Angeles, California",AMR
ind_1803,"Han Chinese in Beijing, China",EAS
ind_1358,Bengali in Bangladesh,SAS
ind_2459,"Gujarati Indians in Houston, TX",SAS
ind_2153,"Luhya in Webuye, Kenya",AFR
ind_392,Puerto Rican in Puerto Rico,AMR
ind_1391,Sri Lankan Tamil in the UK,SAS
ind_142,Finnish in Finland,EUR
ind_1147,Bengali in Bangladesh,SAS
ind_1509,Sri Lankan Tamil in the UK,SAS
ind_842,Iberian populations in Spain,EUR
ind_1977,"Luhya in Webuye, Kenya",AFR
ind_2448,"Gujarati Indians in Houston, TX",SAS
ind_157,Finnish in Finland,EUR
ind_1299,Mende in Sierra Leone,AFR
ind_1072,"Gambian in Western Division, The Gambia - Mandinka",AFR
ind_10,British in England and Scotland,EUR
ind_2187,"Mexican Ancestry in Los Angeles, California",AMR
ind_2037,"Yoruba in Ibadan, Nigeria",AFR
ind_383,Puerto Rican in Puerto Rico,AMR
ind_730,African Caribbean in Barbados,AFR
ind_421,"Colombian in Medellin, Colombia",AMR
ind_2222,"Mexican Ancestry in Los Angeles, California",AMR
ind_2454,"Gujarati Indians in Houston, TX",SAS
ind_323,Puerto Rican in Puerto Rico,AMR
ind_871,"Peruvian in Lima, Peru",AMR
ind_716,"Peruvian in Lima, Peru",AMR
ind_299,Puerto Rican in Puerto Rico,AMR
ind_114,Finnish in Finland,EUR
ind_572,Iberian populations in Spain,EUR
ind_1545,Sri Lankan Tamil in the UK,SAS
ind_342,Puerto Rican in Puerto Rico,AMR
ind_880,African Caribbean in Barbados,AFR
ind_2328,Toscani in Italy,EUR
ind_1182,Mende in Sierra Leone,AFR
ind_416,"Colombian in Medellin, Colombia",AMR
ind_1553,Indian Telugu in the UK,SAS
ind_2146,"Luhya in Webuye, Kenya",AFR
ind_1024,"Punjabi in Lahore, Pakistan",SAS
ind_2442,"Gujarati Indians in Houston, TX",SAS
ind_150,Finnish in Finland,EUR
ind_905,"Chinese Dai in Xishuangbanna, China",EAS
ind_1512,Sri Lankan Tamil in the UK,SAS
ind_1318,"Punjabi in Lahore, Pakistan",SAS
ind_1891,"Yoruba in Ibadan, Nigeria",AFR
ind_331,Puerto Rican in Puerto Rico,AMR
ind_2134,"Luhya in Webuye, Kenya",AFR
ind_2262,African Ancestry in Southwest US,AFR
ind_168,Finnish in Finland,EUR
ind_514,Iberian populations in Spain,EUR
ind_420,"Colombian in Medellin, Colombia",AMR
ind_2029,"Yoruba in Ibadan, Nigeria",AFR
ind_410,"Colombian in Medellin, Colombia",AMR
ind_1190,Mende in Sierra Leone,AFR
ind_367,"Colombian in Medellin, Colombia",AMR
ind_336,Puerto Rican in Puerto Rico,AMR
ind_600,Iberian populations in Spain,EUR
ind_2474,"Gujarati Indians in Houston, TX",SAS
