sample_id,population,super_population
ind_1603,Indian Telugu in the UK,SAS
ind_31,British in England and Scotland,EUR
ind_1685,Utah residents (CEPH) with Northern and Western European ancestry,EUR
ind_1778,"Han Chinese in Beijing, China",EAS
ind_901,"Chinese Dai in Xishuangbanna, China",EAS
ind_1248,"Gambian in Western Division, The Gambia - Mandinka",AFR
ind_509,Iberian populations in Spain,EUR
ind_1698,Utah residents (CEPH) with Northern and Western European ancestry,EUR
ind_720,"Peruvian in Lima, Peru",AMR
ind_2318,Toscani in Italy,EUR
ind_607,Iberian populations in Spain,EUR
ind_121,Finnish in Finland,EUR
ind_1744,Utah residents (CEPH) with Northern and Western European ancestry,EUR
ind_2317,Toscani in Italy,EUR
ind_840,Iberian populations in Spain,EUR
ind_1717,Utah residents (CEPH) with Northern and Western European ancestry,EUR
ind_118,Finnish in Finland,EUR
ind_2075,"Yoruba in Ibadan, Nigeria",AFR
ind_135,Finnish in Finland,EUR
ind_2348,Toscani in Italy,EUR
ind_48,British in England and Scotland,EUR
ind_2357,Toscani in Italy,EUR
ind_2386,Toscani in Italy,EUR
ind_2324,Toscani in Italy,EUR
ind_289,Han Chinese South,EAS
ind_160,Finnish in Finland,EUR
ind_1472,Bengali in Bangladesh,SAS
ind_502,Iberian populations in Spain,EUR
ind_602,Iberian populations in Spain,EUR
ind_381,Puerto Rican in Puerto Rico,AMR
ind_2008,"Japanese in Tokyo, Japan",EAS
ind_1687,Utah residents (CEPH) with Northern and Western European ancestry,EUR
ind_172,Finnish in Finland,EUR
ind_1605,Sri Lankan Tamil in the UK,SAS
ind_3,British in England and Scotland,EUR
ind_145,Finnish in Finland,EUR
ind_1706,Utah residents (CEPH) with Northern and Western European ancestry,EUR
ind_101,British in England and Scotland,EUR
ind_63,Finnish in Finland,EUR
ind_1732,Utah residents (CEPH) with Northern and Western European ancestry,EUR
ind_565,Iberian populations in Spain,EUR
ind_1590,Indian Telugu in the UK,SAS
ind_32,British in England and Scotland,EUR
ind_335,Puerto Rican in Puerto Rico,AMR
ind_1556,Indian Telugu in the UK,SAS
ind_1658,Utah residents (CEPH) with Northern and Western European ancestry,EUR
ind_1683,Utah residents (CEPH) with Northern and Western European ancestry,EUR
ind_106,Finnish in Finland,EUR
ind_61,Finnish in Finland,EUR
ind_688,"Peruvian in Lima, Peru",AMR
ind_758,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_1677,Utah residents (CEPH) with Northern and Western European ancestry,EUR
ind_174,Finnish in Finland,EUR
ind_79,British in England and Scotland,EUR
ind_43,British in England and Scotland,EUR
ind_1690,Utah residents (CEPH) with Northern and Western European ancestry,EUR
ind_978,African Caribbean in Barbados,AFR
ind_17,British in England and Scotland,EUR
ind_2397,Toscani in Italy,EUR
ind_102,British in England and Scotland,EUR
ind_838,Iberian populations in Spain,EUR
ind_1752,Utah residents (CEPH) with Northern and Western European ancestry,EUR
ind_1439,Indian Telugu in the UK,SAS
ind_143,Finnish in Finland,EUR
ind_1137,Esan in Nigeria,AFR
ind_1165,Mende in Sierra Leone,AFR
ind_2395,Toscani in Italy,EUR
ind_1644,Indian Telugu in the UK,SAS
ind_1725,Utah residents (CEPH) with Northern and Western European ancestry,EUR
ind_1703,Utah residents (CEPH) with Northern and Western European ancestry,EUR
ind_1473,Bengali in Bangladesh,SAS
ind_2332,Toscani in Italy,EUR
ind_405,Puerto Rican in Puerto Rico,AMR
ind_1875,"Han Chinese in Beijing, China",EAS
ind_659,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_1022,"Punjabi in Lahore, Pakistan",SAS
ind_2329,Toscani in Italy,EUR
ind_161,Finnish in Finland,EUR
ind_1122,"Gambian in Western Division, The Gambia - Mandinka",AFR
ind_850,Iberian populations in Spain,EUR
ind_2430,"Gujarati Indians in Houston, TX",SAS
